Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1,County,City/Town,Longitude,Latitude,Sold Amount,Sold Date,Foreclosure Year,Property Condition,Program,Project,SBL
3.115E+25,Residential Improved,New,Land Bank,,239 Mclennan Ave,Onondaga,Syracuse,-76.150169,43.027592,,,2015,Demolition Candidate,,unfunded,084.-27-09.0
3.115E+25,Residential Improved,New,Land Bank,,1613 Fayette St E To Lombard S,Onondaga,Syracuse,-76.122458,43.048456,,,2015,Major Renovation Needed,,,031.-12-04.0
3.115E+25,Commercial Improved,New,Land Bank,,1965 Fayette St E & Westmorela,Onondaga,Syracuse,-76.115008,43.048482,,,2015,Major Renovation Needed,,,036.-01-16.1
3.115E+25,Residential Improved,Disposed,Private,,215 Bruce St,Onondaga,Syracuse,-76.111473,43.05014,7000,8/19/2015,2015,Minor Renovation Needed,,,036.-06-32.0
3.115E+25,Residential Improved,New,Land Bank,,516 Garfield Ave,Onondaga,Syracuse,-76.141502,43.02552,,,2015,Major Renovation Needed,,,077.-05-13.0
3.115E+25,Residential Improved,New,Land Bank,,1243-45 Belden Ave W,Onondaga,Syracuse,-76.174889,43.054428,,,2015,Demolition Candidate,,unfunded,108.2-01-04.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,206 Wall St,Onondaga,Syracuse,-76.172768,43.05048,5000,8/20/2015,2015,Minor Renovation Needed,,,109.-04-48.0
3.115E+25,Residential Improved,New,Land Bank,,1225 Fayette St W To Nelson St,Onondaga,Syracuse,-76.176958,43.04715,,,2015,Major Renovation Needed,,,099.-02-03.0
3.115E+25,Residential Improved,New,Land Bank,,1311 Fayette St W,Onondaga,Syracuse,-76.177963,43.047421,,,2015,Major Renovation Needed,,,099.-01-07.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,244 Colvin St E,Onondaga,Syracuse,-76.141609,43.025879,,,2015,,,,077.-05-09.0
3.115E+25,Residential Improved,New,Land Bank,,232-34 Elk St,Onondaga,Syracuse,-76.140778,43.024872,,,2015,Demolition Candidate,,unfunded,077.-08-11.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,163 Liberty St,Onondaga,Syracuse,-76.174477,43.049931,,,2015,,,,109.-07-19.0
3.115E+25,Residential Improved,New,Land Bank,,2214 State St S,Onondaga,Syracuse,-76.14254,43.023609,,,2015,Demolition Candidate,,unfunded,077.-09-11.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,201 Apple St & Harbor Brk,Onondaga,Syracuse,-76.175253,43.050841,,,2015,Unimproved,Demolitions,CDBG - 2015,109.-03-34.0
3.115E+25,Residential Improved,New,Land Bank,,321 Apple St,Onondaga,Syracuse,-76.177498,43.050942,,,2015,Minor Renovation Needed,,,109.-08-09.0
3.115E+25,Residential Vacant - Buildable,Disposition in Process,Land Bank,,137-39 Brighton Ave E,Onondaga,Syracuse,-76.14148,43.020779,,,2015,Unimproved,Demolitions,CDBG - 2015,077.-15-12.0
3.115E+25,Residential Improved,New,Land Bank,,113 Mcallister Ave,Onondaga,Syracuse,-76.142647,43.02264,,,2015,Demolition Candidate,,unfunded,077.-11-15.0
3.115E+25,Residential Improved,New,Land Bank,,115 Mcallister Ave,Onondaga,Syracuse,-76.142479,43.022652,,,2015,Demolition Candidate,,unfunded,077.-11-14.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,1304-06 South Ave To Temple Pl,Onondaga,Syracuse,-76.160042,43.024425,,,2015,Minor Renovation Needed,,,083.-12-39.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,115 Townsend Pl,Onondaga,Syracuse,-76.15004,43.059429,4410,10/22/2015,2015,Major Renovation Needed,,,008.-16-05.0
3.115E+25,Commercial Vacant,Disposed,Private,,953-55 Salina St N & Union Pl To,Onondaga,Syracuse,-76.156241,43.06393,7000,7/27/2015,2015,,,,007.-35-08.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,431 Seymour St,Onondaga,Syracuse,-76.165977,43.041901,,,2015,Unimproved,Demolitions,AG Demo Funds #1,097.-04-31.0
3.115E+25,Residential Improved,New,Land Bank,,432 Seymour St,Onondaga,Syracuse,-76.166031,43.042439,,,2015,Demolition Candidate,,unfunded,097.-01-64.0
3.115E+25,Commercial Improved,Disposed,Private,,133 Geddes St N,Onondaga,Syracuse,-76.171066,43.04969,1,7/31/2015,2015,Minor Renovation Needed,,,109.-05-15.1
3.115E+25,Residential Improved,Compliance Monitoring,Private,,621 Winton St,Onondaga,Syracuse,-76.124832,43.058708,13400,1/12/2016,2015,Minor Renovation Needed,,,019.-23-03.0
3.115E+25,Residential Improved,New,Land Bank,,707 Catherine St,Onondaga,Syracuse,-76.146606,43.058861,,,2015,Demolition Candidate,,unfunded,017.-06-07.0
3.115E+25,Residential Improved,Disposed,Private,,309-11 Lydell St,Onondaga,Syracuse,-76.178108,43.03529,10000,12/21/2015,2015,Minor Renovation Needed,,,091.-12-35.1
3.115E+25,Residential Improved,Compliance Monitoring,Private,,211 Bruce St & Dakin St,Onondaga,Syracuse,-76.111597,43.050364,9900,11/20/2015,2015,Major Renovation Needed,,,036.-06-01.0
3.115E+25,Residential Improved,New,Land Bank,,112 Mcallister Ave,Onondaga,Syracuse,-76.142464,43.022091,,,2015,Major Renovation Needed,,,077.-13-06.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,913 Highland St,Onondaga,Syracuse,-76.14209,43.064819,14300,9/11/2015,2015,Minor Renovation Needed,,,015.-01-21.0
3.115E+25,Residential Improved,New,Land Bank,,335 Apple St To Lakeview Ave,Onondaga,Syracuse,-76.178391,43.050999,,,2015,Major Renovation Needed,,,109.-08-02.0
3.115E+25,Residential Improved,New,Land Bank,,339 Apple St To Lakeview Ave,Onondaga,Syracuse,-76.178612,43.051048,,,2015,Minor Renovation Needed,,,109.-08-01.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,228 Colvin St E,Onondaga,Syracuse,-76.142189,43.02578,3000,11/18/2015,2015,Minor Renovation Needed,,,077.-05-05.0
3.115E+25,Residential Improved,New,Land Bank,,108 Mcallister Ave,Onondaga,Syracuse,-76.142807,43.022171,,,2015,Major Renovation Needed,,,077.-13-04.0
3.115E+25,Residential Improved,New,Land Bank,,113-15 Mckinley Ave,Onondaga,Syracuse,-76.143944,43.024319,,,2015,Minor Renovation Needed,,,077.-07-19.0
3.115E+25,Residential Improved,New,Land Bank,,110 Nelson St,Onondaga,Syracuse,-76.177399,43.04686,,,2015,Demolition Candidate,,unfunded,099.-01-14.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,1100 Bellevue Ave & Bradley St,Onondaga,Syracuse,-76.172908,43.033134,14400,3/9/2016,2015,Minor Renovation Needed,,,092.-22-12.0
3.115E+25,Residential Improved,New,Land Bank,,235-37 Lakeview Ave,Onondaga,Syracuse,-76.179337,43.050892,,,2015,Demolition Candidate,,unfunded,109.-01-13.0
3.115E+25,Residential Improved,New,Land Bank,,635 Willow St E,Onondaga,Syracuse,-76.145653,43.05516,,,,Major Renovation Needed,,,017.-17-12.0
3.115E+25,Commercial Vacant,Disposed,Private,,709 Wolf Street,Onondaga,Syracuse,-76.160942,43.07637,2500,11/13/2015,,Unimproved,Demolitions,Donor Funded Demo,003.-02-17.0
3.115E+25,Residential Improved,New,Land Bank,,145 Nelson St,Onondaga,Syracuse,-76.175598,43.045689,,,2015,Major Renovation Needed,,,099.-02-26.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,205 Newell St W & Cannon St,Onondaga,Syracuse,-76.145491,43.017414,4900,1/14/2016,2015,Minor Renovation Needed,,,076.-18-12.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1109 1/2 Mcbride St N,Onondaga,Syracuse,-76.151489,43.06184,,,2015,Major Renovation Needed,,,008.-04-36.0
3.115E+25,Residential Improved,Disposed,Private,,185 Brampton Rd,Onondaga,Syracuse,-76.140488,42.992699,2500,6/25/2015,2015,Minor Renovation Needed,AG Grant,Confirmed for AG funded renovation,067.-15-19.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,113 Eureka St,Onondaga,Syracuse,-76.176086,43.054211,34000,8/19/2015,2015,Minor Renovation Needed,,,108.1-02-11.0
3.115E+25,Residential Improved,New,Land Bank,,244 Garfield Ave,Onondaga,Syracuse,-76.142479,43.028511,,,2015,Demolition Candidate,,unfunded,084.-09-15.0
3.115E+25,Residential Improved,Disposed,Private,,116 Maplewood Ave,Onondaga,Syracuse,-76.143219,42.987888,1282.1,3/18/2016,2015,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,064.-11-02.0
3.115E+25,Residential Vacant - Buildable,Compliance Monitoring,Private,,1510 Burnet Ave & Peat St,Onondaga,Syracuse,-76.115883,43.055664,2600,8/28/2015,2015,,,,028.-12-19.0
3.115E+25,Residential Vacant - Nonbuildable,Disposed,Private,,121 Seward St,Onondaga,Syracuse,-76.144043,43.059551,151,4/1/2016,2015,Unimproved,Demolitions,CDBG - 2015,016.-04-36.0
3.115E+25,Commercial Improved,New,Land Bank,,1827 South Ave,Onondaga,Syracuse,-76.16008,43.01947,,,2015,Major Renovation Needed,,,078.-16-23.0
3.115E+25,Residential Improved,New,Land Bank,,309-11 Liberty St,Onondaga,Syracuse,-76.174118,43.052429,,,2015,Minor Renovation Needed,,,108.2-06-14.0
3.115E+25,Residential Improved,New,Land Bank,,410 Richmond Ave,Onondaga,Syracuse,-76.173408,43.050362,,,2015,Demolition Candidate,,unfunded,109.-03-15.0
3.115E+25,Residential Improved,New,Land Bank,,437-39 Martin Luthr King W,Onondaga,Syracuse,-76.154984,43.031376,,,2015,Major Renovation Needed,,,086.-10-07.0
3.115E+25,Residential Improved,New,Land Bank,,217 Mckinley Ave,Onondaga,Syracuse,-76.141777,43.024429,,,2015,Minor Renovation Needed,,,077.-08-20.0
3.115E+25,Residential Improved,New,Land Bank,,241 Mckinley Ave,Onondaga,Syracuse,-76.140938,43.024471,,,2015,Minor Renovation Needed,,,077.-08-15.0
3.115E+25,Residential Improved,New,Land Bank,,2014 State St S,Onondaga,Syracuse,-76.143379,43.025391,,,2015,Demolition Candidate,,unfunded,077.-04-06.0
3.115E+25,Residential Improved,New,Land Bank,,207-09 Garfield Ave,Onondaga,Syracuse,-76.141991,43.029388,,,2015,Demolition Candidate,,unfunded,084.-08-03.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,220 Mckinley Ave,Onondaga,Syracuse,-76.141548,43.023899,6000,10/28/2015,2015,Minor Renovation Needed,,,077.-10-02.0
3.115E+25,Residential Improved,New,Land Bank,,242 Bruce St,Onondaga,Syracuse,-76.112007,43.04932,,,2015,Minor Renovation Needed,,,036.-07-11.0
3.115E+25,Residential Improved,New,Land Bank,,233 Mckinley Ave,Onondaga,Syracuse,-76.141251,43.02446,,,2015,Demolition Candidate,,unfunded,077.-08-17.0
3.115E+25,Residential Improved,New,Land Bank,,124 Magnolia St,Onondaga,Syracuse,-76.175179,43.045479,,,2015,Demolition Candidate,,unfunded,099.-02-17.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,131 & 133 Rider Ave,Onondaga,Syracuse,,,26910,5/19/2015,,,,,
31150001800000110110000000 - 1,Residential Vacant - Nonbuildable,Disposed,Private,,124 Wayne St (N),Onondaga,Syracuse,-76.140984,43.054569,151,5/27/2015,,,Demolitions,CNY AP - SIDA funds #1,
31150001800000110110000000 - 2,Residential Vacant - Nonbuildable,Disposed,Private,,124 Wayne St (S),Onondaga,Syracuse,-76.140984,43.054569,151,6/1/2015,,Unimproved,Demolitions,CNY AP - SIDA funds #1,
3.115E+25,Residential Improved,Disposed,Private,,238 Vann St,Onondaga,Syracuse,-76.117828,43.056129,58500,8/7/2015,2015,,,,028.-11-06.0
3.115E+25,Residential Improved,New,Land Bank,,221 Grand Ave To Fenton St,Onondaga,Syracuse,-76.175137,43.039064,,,2015,Major Renovation Needed,,,092.-02-03.0
3.115E+25,Residential Improved,New,Land Bank,,166 Palmer Ave,Onondaga,Syracuse,-76.162712,43.03368,,,2015,Demolition Candidate,,unfunded,093.-13-20.0
3.115E+25,Residential Improved,New,Land Bank,,220 Beard Ave W,Onondaga,Syracuse,-76.150139,43.026249,,,2015,Major Renovation Needed,,,084.-26-29.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1649 Colvin St W,Onondaga,Syracuse,-76.164223,43.02264,,,2015,,,,079.-07-09.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,143 Coolidge Ave,Onondaga,Syracuse,-76.163239,43.034222,9000,1/19/2016,2015,Minor Renovation Needed,,,093.-13-31.0
3.115E+25,Residential Improved,New,Land Bank,,203 Landon Ave,Onondaga,Syracuse,-76.14875,43.028679,,,2015,Minor Renovation Needed,,,084.-20-19.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,207 Apple St,Onondaga,Syracuse,-76.175652,43.050892,8500,9/4/2015,2015,Major Renovation Needed,,,109.-03-31.0
3.115E+25,Residential Improved,New,Land Bank,,339-43 Rich St,Onondaga,Syracuse,-76.16085,43.032219,,,2015,Minor Renovation Needed,,,086.-04-22.0
3.115E+25,Residential Improved,New,Land Bank,,278 Borden Ave W,Onondaga,Syracuse,-76.151421,43.026779,,,2015,Minor Renovation Needed,,,084.-27-36.0
3.115E+25,Residential Improved,New,Land Bank,,340 Colvin St W,Onondaga,Syracuse,-76.148987,43.024849,,,2015,Major Renovation Needed,,,084.-24-44.0
3.115E+25,Residential Improved,New,Land Bank,,273 Mclennan Ave,Onondaga,Syracuse,-76.151443,43.027302,,,2015,Major Renovation Needed,,,084.-27-01.0
3.115E+25,Residential Improved,New,Land Bank,,1309 Midland Ave,Onondaga,Syracuse,-76.151298,43.02626,,,2015,Major Renovation Needed,,,084.-26-39.0
3.115E+25,Residential Improved,New,Land Bank,,122 Wood Ave,Onondaga,Syracuse,-76.148041,43.025879,,,2015,Minor Renovation Needed,,,084.-23-33.0
3.115E+25,Residential Improved,New,Land Bank,,340 Bruce St,Onondaga,Syracuse,-76.111794,43.046848,,,2015,Major Renovation Needed,AG Grant,Confirmed for AG funded renovation,037.-08-13.0
3.115E+25,Residential Improved,New,Land Bank,,228 Mckinley Ave,Onondaga,Syracuse,-76.141251,43.023918,,,2015,Minor Renovation Needed,,,077.-10-04.0
3.115E+25,Residential Improved,New,Land Bank,,218 Bruce St,Onondaga,Syracuse,-76.112068,43.049969,,,2015,Major Renovation Needed,,,036.-07-06.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,149 Lakeview Ave,Onondaga,Syracuse,-76.176468,43.04932,4500,10/26/2015,2015,Minor Renovation Needed,,,109.-01-42.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,209 Wall St,Onondaga,Syracuse,-76.173348,43.050678,2000,8/20/2015,2015,Major Renovation Needed,,,109.-03-11.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,406 Danforth St,Onondaga,Syracuse,-76.157143,43.066132,3000,11/23/2015,2015,Major Renovation Needed,,,007.-19-01.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,412 Rich St,Onondaga,Syracuse,-76.161499,43.031281,5000,,2015,Major Renovation Needed,,,086.-23-06.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1337-39 Onondaga St W,Onondaga,Syracuse,-76.176392,43.033588,,,,,,,092.-23-04.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1341 Onondaga St W,Onondaga,Syracuse,-76.176552,43.033539,,,,,,,092.-23-03.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,1059 Onondaga St W,Onondaga,Syracuse,-76.168694,43.033821,,,,,,,092.-14-08.2
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,139 Fitch St,Onondaga,Syracuse,-76.168449,43.035629,,,,,,,092.-12-08.0
3.115E+25,Residential Improved,New,Land Bank,,548 Richmond Ave,Onondaga,Syracuse,-76.175789,43.05053,,,2015,Major Renovation Needed,,,109.-03-25.0
3.115E+25,Residential Improved,New,Land Bank,,185 Lakeview Ave,Onondaga,Syracuse,-76.176964,43.049591,,,2015,Demolition Candidate,,unfunded,109.-01-37.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,245 Lakeview Ave,Onondaga,Syracuse,-76.179626,43.051048,9900,2/3/2016,2015,Major Renovation Needed,,,109.-01-10.0
3.115E+25,Commercial Vacant,Disposed,Private,,1311-17 Salina St S,Onondaga,Syracuse,-76.14891,43.03439,750,2/3/2016,2015,,,,085.-05-20.0
3.115E+25,Residential Improved,New,Land Bank,,146 Nelson St,Onondaga,Syracuse,-76.17601,43.045441,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,099.-01-30.0
3.115E+25,Residential Improved,New,Land Bank,,322-24 Bishop Ave,Onondaga,Syracuse,-76.158333,43.019371,,,2015,Major Renovation Needed,,,078.-16-11.0
3.115E+25,Residential Improved,New,Land Bank,,115 Wall St,Onondaga,Syracuse,-76.173424,43.04903,,,2015,Major Renovation Needed,,,109.-06-16.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,131 Nelson St,Onondaga,Syracuse,-76.17614,43.04628,,,2015,Unimproved,,,099.-02-33.0
3.115E+25,Residential Improved,New,Land Bank,,116 Wall St,Onondaga,Syracuse,-76.172707,43.04911,,,2015,Demolition Candidate,,unfunded,109.-05-30.0
3.115E+25,Residential Improved,New,Land Bank,,504 Wolf St,Onondaga,Syracuse,-76.162041,43.073582,,,2015,Demolition Candidate,,unfunded,002.-07-03.0
3.115E+25,Residential Improved,New,Land Bank,,2420 State St S,Onondaga,Syracuse,-76.141724,43.02174,,,2015,Major Renovation Needed,,,077.-13-13.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,509 Bear St,Onondaga,Syracuse,-76.160149,43.071652,8010,9/29/2015,2015,Minor Renovation Needed,,,002.-19-11.0
3.115E+25,Residential Improved,New,Land Bank,,1407 Park St,Onondaga,Syracuse,-76.157639,43.067921,,,2015,Demolition Candidate,,unfunded,007.-12-08.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,1404 Spring St,Onondaga,Syracuse,-76.159798,43.072418,,,2015,,,,002.-20-19.0
3.115E+25,Industrial Vacant,New,Land Bank,,1623 Spring St,Onondaga,Syracuse,-76.164047,43.073601,,,2015,Unimproved,,,002.-05-05.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,222 Baker Ave,Onondaga,Syracuse,-76.143997,43.029201,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,084.-10-07.0
3.115E+25,Residential Improved,New,Land Bank,,328 Westmoreland Ave,Onondaga,Syracuse,-76.11496,43.047451,,,2015,Major Renovation Needed,,,037.-02-09.0
3.115E+25,Residential Improved,New,Land Bank,,126 Mckinley Ave,Onondaga,Syracuse,-76.143372,43.0238,,,2015,Demolition Candidate,,unfunded,077.-09-04.0
3.115E+25,Residential Improved,New,Land Bank,,138 Baker Ave,Onondaga,Syracuse,-76.144432,43.030151,,,2015,Minor Renovation Needed,,,084.-04-10.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,117 Wall St,Onondaga,Syracuse,-76.173424,43.049122,,,2015,Unimproved,Demolitions,AG Demo Funds #2,109.-06-15.0
3.115E+25,Commercial Improved,Compliance Monitoring,Private,,1408 Salina St N,Onondaga,Syracuse,-76.160782,43.068321,25655,10/9/2015,2015,Minor Renovation Needed,,,002.-24-16.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,2508-10 State St S,Onondaga,Syracuse,-76.141411,43.021149,,,2015,Unimproved,Demolitions,Land Bank funded,077.-15-07.0
3.115E+25,Residential Improved,New,Land Bank,,2321 State St S,Onondaga,Syracuse,-76.141502,43.022732,,,2015,Major Renovation Needed,,,077.-12-09.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,311 Bear St,Onondaga,Syracuse,-76.161911,43.069321,25700,,2015,Minor Renovation Needed,,,002.-16-13.0
3.115E+25,Residential Improved,New,Land Bank,,510 Bear St,Onondaga,Syracuse,-76.159401,43.0714,,,2015,Major Renovation Needed,,,002.-22-04.0
3.115E+25,Residential Improved,New,Land Bank,,101 Commonwealth Ave,Onondaga,Syracuse,-76.1633,43.07142,,,2015,Major Renovation Needed,,,002.-09-09.0
3.115E+25,Residential Improved,New,Land Bank,,709 Spring St,Onondaga,Syracuse,-76.15112,43.06834,,,2015,Major Renovation Needed,,,007.-26-04.0
3.115E+25,Residential Improved,New,Land Bank,,100 Beard Ave E,Onondaga,Syracuse,-76.145401,43.026972,,,2015,Major Renovation Needed,,,084.-18-01.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,143-45 Mclennan Ave,Onondaga,Syracuse,-76.14837,43.0281,,,2015,Major Renovation Needed,,,084.-21-02.0
3.115E+25,Residential Improved,New,Land Bank,,2301 Fayette St E & Bruce St,Onondaga,Syracuse,-76.111278,43.048464,,,2015,Minor Renovation Needed,,,036.-06-20.1
3.115E+25,Residential Improved,New,Land Bank,,1901-07 State St S & Elizabeth St,Onondaga,Syracuse,-76.143321,43.026435,,,2015,Demolition Candidate,,unfunded,084.-16-15.1
3.115E+25,Residential Improved,New,Land Bank,,1232-34 Butternut St,Onondaga,Syracuse,-76.142921,43.06805,,,,Major Renovation Needed,Land Banking,Site Assembly - Land Bank,010.-28-41.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,407 Ellis St,Onondaga,Syracuse,-76.113289,43.047069,12400,12/11/2015,2015,Minor Renovation Needed,,,037.-07-34.0
3.115E+25,Residential Improved,New,Land Bank,,110 Beard Ave E,Onondaga,Syracuse,-76.144554,43.027197,,,2015,Major Renovation Needed,,,084.-17-03.0
3.115E+25,Residential Improved,New,Land Bank,,274-76 Leon St,Onondaga,Syracuse,-76.143425,43.033634,,,2015,Demolition Candidate,,unfunded,085.-09-18.0
3.115E+25,Residential Vacant - Buildable,New,Land Bank,,560-62 Oakwood Ave,Onondaga,Syracuse,-76.144959,43.032082,,,2015,,,,085.-10-18.0
3.115E+25,Residential Improved,New,Land Bank,,255 Baker Ave,Onondaga,Syracuse,-76.143028,43.028519,,,2015,Demolition Candidate,,unfunded,084.-09-19.0
3.115E+25,Residential Improved,New,Land Bank,,131 Garfield Ave & Woodland,Onondaga,Syracuse,-76.142064,43.029838,,,2015,Major Renovation Needed,,,084.-07-05.0
3.115E+25,Residential Improved,New,Land Bank,,526-28 Richmond Ave,Onondaga,Syracuse,-76.174644,43.050396,,,2015,Demolition Candidate,,unfunded,109.-03-20.0
3.115E+25,Residential Improved,New,Land Bank,,404 Martin Luthr King E & Leo,Onondaga,Syracuse,-76.143639,43.034106,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,085.-08-01.0
3.115E+25,Residential Improved,New,Land Bank,,234-36 Leon St,Onondaga,Syracuse,-76.143005,43.032749,,,2015,Major Renovation Needed,,,085.-09-10.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,2219 Valley Dr,Onondaga,Syracuse,-76.152107,42.993149,,,2015,Minor Renovation Needed,,,066.-10-17.0
3.115E+25,Residential Improved,New,Land Bank,,259 Croly St,Onondaga,Syracuse,-76.112152,43.04607,,,2015,Minor Renovation Needed,,,037.-08-33.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,103 Beard Ave E ,Onondaga,Syracuse,-76.145432,43.027431,2500,,2015,Major Renovation Needed,,,084.-19-14.0
3.115E+25,Residential Improved,New,Land Bank,,2930 Salina St S & Corning Ave,Onondaga,Syracuse,-76.142519,43.018913,,,2015,Major Renovation Needed,,,076.-02-28.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,413 Wilbur Ave S,Onondaga,Syracuse,-76.17749,43.046478,4000,8/11/2015,2015,,,,099.-01-62.0
3.115E+25,Residential Improved,New,Land Bank,,145 Cheltenham Rd E,Onondaga,Syracuse,-76.141693,42.99548,,,2015,Major Renovation Needed,,,068.-07-19.2
3.115E+25,Residential Improved,New,Land Bank,,132 Colvin St E,Onondaga,Syracuse,-76.143921,43.025581,,,2015,Major Renovation Needed,,,077.-04-02.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,2516-18 State St S,Onondaga,Syracuse,-76.141281,43.020939,,,2015,Unimproved,Demolitions,Land Bank funded,077.-15-09.0
3.115E+25,Residential Improved,New,Land Bank,,121 Beard Ave E & State St S,Onondaga,Syracuse,-76.144388,43.027606,,,2015,Minor Renovation Needed,,,084.-19-10.0
3.115E+25,Residential Improved,New,Land Bank,,203 Davis St,Onondaga,Syracuse,-76.17012,43.038971,,,2015,Major Renovation Needed,,,092.-06-11.0
3.115E+25,Commercial Vacant,New,Land Bank,,507 Hawley Ave,Onondaga,Syracuse,-76.13578,43.05341,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,018.-07-08.0
3.115E+25,Residential Improved,New,Land Bank,,309 Rich St,Onondaga,Syracuse,-76.16088,43.03301,,,2015,Major Renovation Needed,,,086.-04-30.0
3.115E+25,Residential Improved,New,Land Bank,,109 Wall St,Onondaga,Syracuse,-76.17343,43.04876,,,2015,Demolition Candidate,,unfunded,109.-06-19.0
3.115E+25,Residential Vacant - Nonbuildable,New,Land Bank,,615 Tully St,Onondaga,Syracuse,-76.16526,43.04377,,,2015,,,,100.-23-16.0
3.115E+25,Residential Improved,New,Land Bank,,2113 State St S,Onondaga,Syracuse,-76.14234,43.02466,,,2015,Major Renovation Needed,,,077.-08-26.0
3.115E+25,Residential Improved,New,Land Bank,,457-59 Westmoreland Ave,Onondaga,Syracuse,-76.11423,43.04583,,,2015,Major Renovation Needed,,,037.-06-20.0
3.115E+25,Residential Improved,New,Land Bank,,154 Nelson St,Onondaga,Syracuse,-76.17558,43.045,,,2015,Demolition Candidate,Demolitions,CDBG - 2015,099.-01-35.0
3.115E+25,Residential Improved,New,Land Bank,,201 Woodland Ave & Baker Ave,Onondaga,Syracuse,-76.143841,43.029997,,,2015,Major Renovation Needed,,,084.-05-17.0
3.115E+25,Residential Improved,New,Land Bank,,110 Wall St,Onondaga,Syracuse,-76.17272,43.04883,,,2015,Demolition Candidate,,unfunded,109.-05-27.0
3.115E+25,Residential Improved,Compliance Monitoring,Private,,913 Carbon St,Onondaga,Syracuse,-76.15855,43.06996,4900,12/9/2015,2015,Major Renovation Needed,,,007.-06-05.0
3.115E+25,Residential Improved,New,Land Bank,,1109 Carbon St,Onondaga,Syracuse,-76.1615,43.07109,,,2015,Major Renovation Needed,,,002.-18-04.0
3.115E+25,Residential Improved,New,Land Bank,,1606 Spring St,Onondaga,Syracuse,-76.16298,43.07373,,,2015,Major Renovation Needed,,,002.-06-22.0
3.115E+25,Residential Improved,New,Land Bank,,332 Bishop Ave & Brighton Ave,Onondaga,Syracuse,-76.15795,43.01908,,,2015,Major Renovation Needed,,,078.-16-12.0
3.115E+25,Residential Improved,New,Land Bank,,262 Brighton Ave W,Onondaga,Syracuse,-76.14873,43.02041,,,2015,Major Renovation Needed,,,077.-21-33.0
3.115E+25,Residential Improved,New,Land Bank,,1036 Colvin St W,Onondaga,Syracuse,-76.15679,43.02339,,,2015,Demolition Candidate,,unfunded,083.-11-31.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,300 Bruce St & Fayette St E,Onondaga,Syracuse,-76.1116,43.04824,,,2015,Minor Renovation Needed,,,037.-08-03.0
3.115E+25,Residential Improved,New,Land Bank,,102 Elk St,Onondaga,Syracuse,-76.14422,43.02469,,,2015,Major Renovation Needed,,,077.-07-02.0
3.115E+25,Residential Improved,New,Land Bank,,320 Westmoreland Ave,Onondaga,Syracuse,-76.11498,43.04764,,,2015,Major Renovation Needed,,,037.-02-07.0
3.115E+25,Residential Improved,Disposed,Private,,224 Davis St,Onondaga,Syracuse,-76.17172,43.0394,2966.76,1/15/2016,2015,,,,097.-14-24.0
