Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1,County,City/Town,Longitude,Latitude,Sold Amount,Sold Date,Foreclosure Year,Property Condition,Program,Project,SBL
3.115E+25,Residential Improved,Compliance Monitoring,Private,,115 Kirk Ave,Onondaga,Syracuse,-76.148652,43.029061,7470,10/8/2015,2014,Minor Renovation Needed,,,084.-20-03.0
3.115E+25,Residential Improved,New,Land Bank,,272 Mclennan Ave,Onondaga,Syracuse,-76.151611,43.027679,,,2014,Major Renovation Needed,,,084.-28-33.0
3.115E+25,Commercial Improved,New,Land Bank,,921 Tallman St,Onondaga,Syracuse,-76.162323,43.035469,,,2014,Demolition Candidate,,unfunded,093.-12-02.0
3.115E+25,Residential Improved,New,Land Bank,,212 Beard Ave W,Onondaga,Syracuse,-76.149429,43.026428,,,2014,Minor Renovation Needed,,,084.-26-25.0
3.115E+25,Residential Improved,New,Land Bank,,205 Beard Ave W,Onondaga,Syracuse,-76.148491,43.026112,,,2014,Minor Renovation Needed,,,084.-23-08.0
3.115E+25,Residential Improved,Disposition in Process,Land Bank,,132 Borden Ave W,Onondaga,Syracuse,-76.148163,43.02766,9900,,2014,Minor Renovation Needed,,,084.-21-16.0
3.115E+25,Residential Improved,New,Land Bank,,244 Hudson St,Onondaga,Syracuse,-76.16024,43.032291,,,2014,Demolition Candidate,,unfunded,086.-04-13.0
3.115E+25,Commercial Vacant,New,Land Bank,,1023 Geddes St S,Onondaga,Syracuse,-76.172958,43.037609,,,2014,Demolition Candidate,Demolitions,CDBG - 2015,092.-04-63.0
3.115E+25,Residential Improved,New,Land Bank,,233-35 Palmer Ave,Onondaga,Syracuse,-76.16201,43.032299,,,2014,Major Renovation Needed,,,086.-03-17.0
3.115E+25,Commercial Improved,Compliance Monitoring,Private,,437 Salina St N To Salt St,Onondaga,Syracuse,-76.152328,43.056715,50000,1/28/2016,2014,Major Renovation Needed,,,017.-02-07.0
3.115E+25,Commercial Improved,Compliance Monitoring,Private,,435 Salina St N To Salt St,Onondaga,Syracuse,-76.1523,43.056657,99000,11/13/2015,2014,Minor Renovation Needed,,,017.-02-08.0
3.115E+25,Residential Improved,New,Land Bank,,128 Borden Ave W,Onondaga,Syracuse,-76.14801,43.027748,,,2014,Demolition Candidate,,unfunded,084.-21-15.0
